peer_id,template,host_id,host_type,ip,port,layer_start,layer_end,cpu_load,fail_rate,trust0,net_delay_ms
w00085_3,L_risky_fast,L1,L,100.102.150.87,6010,30,32,1,0.3041,0.4731,1
w00086_3,L_safe_slow,L1,L,100.102.150.87,6011,30,32,10,0.001,0.9841,232
w00087_3,L_safe_slow,L1,L,100.102.150.87,6011,30,32,16,0.001,0.9989,212
w00088_3,S_guaranteed_safe,S1,S,100.98.255.118,6011,33,35,16,0.0,1.0,104
w00089_3,S_risky_fast,S1,S,100.98.255.118,6010,33,35,1,0.2044,0.4936,1
w00090_3,S_normal,S1,S,100.98.255.118,6011,33,35,15,0.1503,0.6394,41
w00091_3,S_normal,S1,S,100.98.255.118,6011,33,35,12,0.1971,0.5602,70
w00092_3,S_normal,S1,S,100.98.255.118,6011,33,35,20,0.0541,0.5928,37
w00093_3,S_safe_slow,S1,S,100.98.255.118,6011,33,35,24,0.001,0.9868,329
w00094_3,S_normal,S1,S,100.98.255.118,6011,33,35,14,0.1628,0.6496,52
w00095_3,S_risky_fast,S1,S,100.98.255.118,6010,33,35,1,0.3436,0.4569,1
w00096_3,P_guaranteed_safe,P2,P,100.114.143.4,7021,30,32,1,0.0,1.0,38
w00097_3,P_normal,P2,P,100.114.143.4,7021,30,32,1,0.0024,0.9426,1
w00098_3,P_risky_fast,P2,P,100.114.143.4,7020,30,32,1,0.3122,0.5107,1
w00099_3,P_risky_fast,P2,P,100.114.143.4,7020,30,32,1,0.2468,0.4526,1
w00100_3,P_normal,P2,P,100.114.143.4,7021,30,32,2,0.004,0.9644,1
w00101_3,P_normal,P2,P,100.114.143.4,7021,30,32,1,0.001,0.9695,1
w00102_3,P_risky_fast,P2,P,100.114.143.4,7020,30,32,1,0.2019,0.5148,1
w00103_3,P_normal,P2,P,100.114.143.4,7021,30,32,2,0.0082,0.9095,2
w00104_3,P_guaranteed_safe,P2,P,100.114.143.4,7022,33,35,2,0.0,1.0,34
w00105_3,P_safe_slow,P2,P,100.114.143.4,7022,33,35,4,0.001,0.9849,292
w00106_3,P_normal,P2,P,100.114.143.4,7022,33,35,2,0.0088,0.9219,2
w00107_3,P_risky_fast,P2,P,100.114.143.4,7021,33,35,1,0.3197,0.4712,1
w00108_3,P_normal,P2,P,100.114.143.4,7022,33,35,2,0.0028,0.9537,2
w00109_3,P_normal,P2,P,100.114.143.4,7022,33,35,1,0.0009,0.9648,2
w00110_3,P_safe_slow,P2,P,100.114.143.4,7022,33,35,2,0.001,0.9803,196
w00111_3,P_safe_slow,P2,P,100.114.143.4,7022,33,35,4,0.001,0.9906,216
