peer_id,template,host_id,host_type,ip,port,layer_start,layer_end,cpu_load,fail_rate,trust0,net_delay_ms
w00069_6,R_safe_slow,R3,R,100.91.8.70,6101,12,17,8,0.001,0.9859,173
w00070_6,R_normal,R3,R,100.91.8.70,6101,12,17,4,0.0399,0.7569,7
w00071_6,R_risky_fast,R3,R,100.91.8.70,6100,12,17,1,0.2645,0.4787,1
w00072_6,R_guaranteed_safe,R4,R,100.118.84.7,6101,18,23,5,0.0,1.0,34
w00073_6,R_normal,R4,R,100.118.84.7,6101,18,23,3,0.0353,0.8191,8
w00074_6,R_normal,R4,R,100.118.84.7,6101,18,23,5,0.0225,0.7773,7
w00075_6,R_safe_slow,R4,R,100.118.84.7,6101,18,23,6,0.001,0.9961,179
w00076_6,R_normal,R4,R,100.118.84.7,6101,18,23,3,0.0273,0.7713,8
w00077_6,R_normal,R4,R,100.118.84.7,6101,18,23,4,0.0324,0.7945,3
w00078_6,R_normal,R4,R,100.118.84.7,6101,18,23,4,0.0348,0.7366,7
w00079_6,R_normal,R4,R,100.118.84.7,6101,18,23,3,0.0434,0.7328,8
w00080_6,L_guaranteed_safe,L1,L,100.102.150.87,6101,24,29,8,0.0,1.0,37
w00081_6,L_normal,L1,L,100.102.150.87,6101,24,29,7,0.0634,0.7976,15
w00082_6,L_normal,L1,L,100.102.150.87,6101,24,29,7,0.0606,0.7439,18
w00083_6,L_safe_slow,L1,L,100.102.150.87,6101,24,29,16,0.001,0.995,296
w00084_6,L_risky_fast,L1,L,100.102.150.87,6100,24,29,1,0.2429,0.4577,1
w00085_6,L_risky_fast,L1,L,100.102.150.87,6100,24,29,1,0.3041,0.4731,1
w00086_6,L_safe_slow,L1,L,100.102.150.87,6101,24,29,10,0.001,0.9841,232
w00087_6,L_safe_slow,L1,L,100.102.150.87,6101,24,29,16,0.001,0.9989,212
w00088_6,S_guaranteed_safe,S1,S,100.98.255.118,6101,30,35,16,0.0,1.0,104
w00089_6,S_risky_fast,S1,S,100.98.255.118,6100,30,35,1,0.2044,0.4936,1
w00090_6,S_normal,S1,S,100.98.255.118,6101,30,35,15,0.1503,0.6394,41
w00091_6,S_normal,S1,S,100.98.255.118,6101,30,35,12,0.1971,0.5602,70
w00092_6,S_normal,S1,S,100.98.255.118,6101,30,35,20,0.0541,0.5928,37
w00093_6,S_safe_slow,S1,S,100.98.255.118,6101,30,35,24,0.001,0.9868,329
w00094_6,S_normal,S1,S,100.98.255.118,6101,30,35,14,0.1628,0.6496,52
w00095_6,S_risky_fast,S1,S,100.98.255.118,6100,30,35,1,0.3436,0.4569,1
w00096_6,P_guaranteed_safe,P2,P,100.114.143.4,7105,24,29,1,0.0,1.0,38
w00097_6,P_normal,P2,P,100.114.143.4,7105,24,29,1,0.0024,0.9426,1
w00098_6,P_risky_fast,P2,P,100.114.143.4,7104,24,29,1,0.3122,0.5107,1
w00099_6,P_risky_fast,P2,P,100.114.143.4,7104,24,29,1,0.2468,0.4526,1
w00100_6,P_normal,P2,P,100.114.143.4,7105,24,29,2,0.004,0.9644,1
w00101_6,P_normal,P2,P,100.114.143.4,7105,24,29,1,0.001,0.9695,1
w00102_6,P_risky_fast,P2,P,100.114.143.4,7104,24,29,1,0.2019,0.5148,1
w00103_6,P_normal,P2,P,100.114.143.4,7105,24,29,2,0.0082,0.9095,2
w00104_6,P_guaranteed_safe,P2,P,100.114.143.4,7106,30,35,2,0.0,1.0,34
w00105_6,P_safe_slow,P2,P,100.114.143.4,7106,30,35,4,0.001,0.9849,292
w00106_6,P_normal,P2,P,100.114.143.4,7106,30,35,2,0.0088,0.9219,2
w00107_6,P_risky_fast,P2,P,100.114.143.4,7105,30,35,1,0.3197,0.4712,1
w00108_6,P_normal,P2,P,100.114.143.4,7106,30,35,2,0.0028,0.9537,2
w00109_6,P_normal,P2,P,100.114.143.4,7106,30,35,1,0.0009,0.9648,2
w00110_6,P_safe_slow,P2,P,100.114.143.4,7106,30,35,2,0.001,0.9803,196
w00111_6,P_safe_slow,P2,P,100.114.143.4,7106,30,35,4,0.001,0.9906,216
